부품번호,품명,수량,상위품목
80869600,안테나수신기,1,
80869882,"수신기,레이더용(아날로그수신부)",1,80869600
80869883,회로카드 조립체(아날로그수신모듈),10,80869882
80869884,"하우징,전자 구성품용(아날로그수신모듈용)",1,80869883
80869885,"판,설치용(몸체,아날로그수신모듈용)",1,80869884
MA3279-140,"삽입기,나사용(M2X1.0D)",249,80869884
MA3279-101,"삽입기,나사용(M2.5X1.0D)",72,80869884
MA3279-102,"삽입기,나사용(M3X1.0D)",2,80869884
80869886,"덮개,보호,먼지와 습기 밀폐용(상부덮개,아날로그수신모듈용)",1,80869883
80869887,"덮개,보호,먼지와 습기 밀폐용((하부덮개,아날로그수신모듈용)",1,80869883
80869888,"덮개,보호,먼지와 습기 밀폐용(내부A,아날로그수신모듈용)",1,80869883
80869889,"덮개,보호,먼지와 습기 밀폐용(내부B,아날로그수신모듈용)",2,80869883
80869890,"덮개,보호,먼지와 습기 밀폐용(내부C,아날로그수신모듈용)",1,80869883
80869891,"판,차폐용(아날로그수신모듈용)",1,80869883
80869892,"판,차폐용(아날로그수신모듈용)",1,80869891
MA3279-101,"삽입기,나사용(M2.5X1.0D)",16,80869891
SMA(F)2H-5050G1,"연결기,리셉터클형,전기용",8,80869891
M2.5X5 PH SEMS STS,"나사,와셔조립형",16,80869891
80869893,"판,차폐용(아날로그수신모듈용)",1,80869883
80869894,"판,차폐용(아날로그수신모듈용)",1,80869883
80869895,"판,차폐용(아날로그수신모듈용)",1,80869883
80869896,"판,차폐용(아날로그수신모듈용)",1,80869883
80869897,"덮개,보호,먼지와 습기 밀폐용(전면덮개조립체용)",1,80869883
80869898,"덮개,보호,먼지와 습기 밀폐용(전면용)",1,80869897
M20-10S2B-15(FASTENED),스크루드라이버 및 렌치조립체,2,80869897
80869899,"판,차폐용(아날로그수신모듈용)",1,80869883
80869900,인쇄회로판(하향변환),4,80869883
80869901,인쇄배선판(하향변환),1,80869900
PBY201209T-500Y-N,"차폐 비드,전자용",2,80869900
CL10C101JB8NNNC,"축전기,고정식,세라믹 유전체형",39,80869900
CL10B104JB8NNNC,"축전기,고정식,세라믹 유전체형",28,80869900
CL10C220JB8NNNC,"축전기,고정식,세라믹 유전체형",7,80869900
CBR06C208B5GAC,"축전기,고정식,세라믹 유전체형",8,80869900
CBR06C308B5GAC,"축전기,고정식,세라믹 유전체형",8,80869900
CBR06C408B5GAC,"축전기,고정식,세라믹 유전체형",8,80869900
CBR06C508B5GAC,"축전기,고정식,세라믹 유전체형",8,80869900
CBR06C608B5GAC,"축전기,고정식,세라믹 유전체형",8,80869900
CBR06C708B5GAC,"축전기,고정식,세라믹 유전체형",8,80869900
CBR06C808B5GAC,"축전기,고정식,세라믹 유전체형",8,80869900
CBR06C908B5GAC,"축전기,고정식,세라믹 유전체형",8,80869900
CL10C010CB81PN,"축전기,고정식,세라믹 유전체형",8,80869900
CL10C1R2CB81PN,"축전기,고정식,세라믹 유전체형",8,80869900
CL10C1R5CB81PN,"축전기,고정식,세라믹 유전체형",8,80869900
LQG18HN1N2S00,"코일,전기용",8,80869900
LQG18HN1N5S00,"코일,전기용",8,80869900
LQG18HN1N8S00,"코일,전기용",8,80869900
LQG18HN2N2S00,"코일,전기용",8,80869900
LQG18HN2N7S00,"코일,전기용",8,80869900
LQG18HN3N3S00,"코일,전기용",8,80869900
LQG18HN3N9S00,"코일,전기용",8,80869900
LQG18HN4N7S00,"코일,전기용",8,80869900
LQG18HN5N6S00,"코일,전기용",8,80869900
CL10C180JB8NNNC,"축전기,고정식,세라믹 유전체형",1,80869900
CL10C102JB8NNNC,"축전기,고정식,세라믹 유전체형",33,80869900
CL10C4R7CB8NNNC,"축전기,고정식,세라믹 유전체형",2,80869900
CL10C8R2CB8NNNC,"축전기,고정식,세라믹 유전체형",1,80869900
CL10C560JB8NNNC,"축전기,고정식,세라믹 유전체형",4,80869900
CL10C820JB8NNNC,"축전기,고정식,세라믹 유전체형",1,80869900
